,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,yield_
29,29.0,0.0,30.0,16.0,601.5,0.756660511053068,0.155290506447697,0.155290506447697,46.34136482736944,46.42261738942413,0.0,0.0,0.0
30,30.0,0.0,31.0,15.5,617.0,0.7717419803828091,0.16309088104875294,0.16309088104875294,50.197877327944,50.27912988999869,0.0,0.0,0.0
31,31.0,0.0,32.0,16.0,633.0,0.7866236363155856,0.17128307511970858,0.17128307511970858,54.229029705221826,54.31028226727652,0.0,0.0,0.0
32,32.0,0.0,33.0,16.5,649.5,0.8013156653777367,0.1798867700867575,0.1798867700867575,58.441747565877634,58.52300012793233,0.0,0.0,0.0
33,33.0,0.0,34.0,15.5,665.0,0.8158273786044903,0.18892263599091905,0.18892263599091905,62.84313287767699,62.92438543973169,0.0,0.0,0.0
34,34.0,0.0,35.0,14.5,679.5,0.8301673152321857,0.19841238114700455,0.19841238114700455,67.44045812071798,67.52171068277266,0.0,0.0,0.0
35,35.0,0.0,36.0,16.0,695.5,0.844343330970244,0.20837880429699535,0.20837880429699535,72.24115909846613,72.32241166052081,0.0,0.0,0.0
36,36.0,0.0,37.0,17.0,712.5,0.8583626735820209,0.2188458493831297,0.2188458493831297,77.25282630766087,77.33407886971555,0.0,0.0,0.0
37,37.0,0.0,38.0,18.5,731.0,0.8722320479484479,0.22983866307228867,0.22983866307228867,82.48319476938786,82.56444733144255,0.0,0.0,0.0
38,38.0,0.0,39.0,18.0,749.0,0.8859576723598747,0.24138365516988075,0.24138365516988075,87.9401322297041,88.02138479175879,0.0,0.0,0.0
39,39.0,0.0,40.0,18.0,767.0,0.899545327447879,0.25350856206836747,0.25350856206836747,93.63162564788865,93.71287820994334,0.0,0.0,0.0
40,40.0,0.0,41.0,16.5,783.5,0.9130003989068761,0.2662425133828628,0.2662425133828628,99.56576590453243,99.64701846658711,0.0,0.0,0.0
41,41.0,0.0,42.0,13.0,796.5,0.9263279149480832,0.27961610193389536,0.27961610193389536,105.52936895070863,105.61062151276332,0.0,0.0,0.0
42,42.0,0.0,43.0,12.0,808.5,0.939532579263202,0.2936614572454645,0.2936614572454645,111.57852130511304,111.65977386716773,0.0,0.0,0.0
